Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",117.500000,-56.500000,90.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",136.000000,-59.455113,90.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",147.500000,-109.062500,-90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.437500,-108.500000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",119.000000,-101.500000,-90.000000,top
"D1","~","LED_D5.0mm",176.000000,-69.500000,-90.000000,top
"D2","LED","LED_D5.0mm",167.500000,-69.500000,-90.000000,top
"D3","LED","LED_D5.0mm",159.000000,-69.500000,-90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",123.300000,-52.500000,0.000000,top
"D5","LED","LED_D5.0mm",150.500000,-69.500000,-90.000000,top
"J1","~","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",108.500000,-75.000000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",136.000000,-65.500000,-90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",176.000000,-62.080000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",167.500000,-52.000000,-90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",159.000000,-62.000000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",150.500000,-62.080000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.450000,-95.500000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.450000,-98.130000,0.000000,top
"R7","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",153.500000,-109.050000,90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.450000,-93.000000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.500000,-109.000000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.500000,-109.050000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",162.500000,-109.100000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",165.500000,-109.100000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.500000,-109.000000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.500000,-100.500000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.450000,-83.000000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.500000,-90.500000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.450000,-85.500000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",182.450000,-88.000000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.500000,-99.050000,90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",104.500000,-105.000000,90.000000,top
"SW1","~","SW_PUSH_6mm_H4.3mm",159.250000,-119.750000,0.000000,top
"SW2","~","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",125.702500,-90.500000,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm",130.305000,-65.810000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",139.880000,-83.460000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",154.500000,-83.460000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",169.000000,-83.460000,0.000000,top
"U5","FYS-3911BUHR-21","HDSP-7401",193.420000,-86.960000,0.000000,top
"U6","~","SOT-23-6",133.637500,-91.500000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",107.695000,-95.190000,0.000000,top
