"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-8_W7.62mm";1;"LM2574N-5";;;
2;"R19,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"47k";;;
3;"R11,R15,R12,R10,R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"10k";;;
4;"U7";"DIP-8_W7.62mm";1;"NE555P";;;
5;"L1";"L_Radial_D7.2mm_P3.00mm_Murata_1700";1;"330u";;;
6;"C2";"CP_Radial_D5.0mm_P2.00mm";1;"220u";;;
7;"U4";"DIP-16_W7.62mm_Socket_LongPads";1;"74LS47";;;
8;"D3,D2,D5";"LED_D5.0mm";3;"LED";;;
9;"U2,U3";"DIP-16_W7.62mm_Socket_LongPads";2;"4027";;;
10;"D1";"LED_D5.0mm";1;"~";;;
11;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"22u";;;
12;"R2,R3,R1,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"4k7";;;
13;"R5,R14,R8,R18,R6,R17,R16,R13";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";8;"2k";;;
14;"C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10u";;;
15;"SW1";"SW_PUSH_6mm_H4.3mm";1;"~";;;
16;"C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100n";;;
17;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10K";;;
18;"C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1u";;;
19;"SW2";"SW_Slide_SPDT_Straight_CK_OS102011MS2Q";1;"~";;;
20;"U5";"HDSP-7401";1;"FYS-3911BUHR-21";;;
21;"J1";"TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal";1;"~";;;
22;"D4";"D_DO-41_SOD81_P12.70mm_Horizontal";1;"11DQ06";;;
23;"U6";"SOT-23-6";1;"~";;;
